,name,fullname,isalive,group,centrality,hits,pagerank
24,happyh,Happy Hogun,alive,human,0.055248618784530384,0.006633321259831218,0.006026386920432003
25,howardso,Howard Stark (Old),deceased,human,0.03314917127071823,0.0033268980401554775,0.004397886152645008
26,marias,Maria Stark,deceased,human,0.016574585635359115,0.00306764087890479,0.002327211675005989
27,obadiahs,Obadiah Stane,deceased,human,0.016574585635359115,0.002433813850698408,0.002560350445730938
28,yinsen,Ho Yinsen,deceased,human,0.0055248618784530384,0.0016607242581750466,0.00130574080166319
29,raza,Raza,deceased,human,0.016574585635359115,0.001892445379161805,0.002940264008524614
30,abub,Abu Bakaar,unknown,human,0.011049723756906077,0.0017651592135675186,0.0021388595627065484
31,jarvis,Edwin Jarvis,deceased,human,0.022099447513812154,0.0028220509006720105,0.0028122604277681044
32,christinee,Christine Everhart,alive,human,0.011049723756906077,0.001863725646791891,0.0019209658571706103
33,philc,Phil Coulson,alive,human,0.0718232044198895,0.012116559761547059,0.006446703335519125
34,whiplash,Ivan Vanko,deceased,human,0.03867403314917127,0.005518417716647451,0.0046217388705806686
35,antonvo,Anton Vanko (Old),deceased,human,0.011049723756906077,0.00048813041932645667,0.002008539568923711
36,justinh,Justin Hammer,alive,human,0.027624309392265192,0.003678548417166044,0.003618634952537492
37,stern,Stern,alive,human,0.016574585635359115,0.003486298652822457,0.0021563487698651952
38,aldrichk,Aldrich Killian,deceased,human,0.049723756906077346,0.004054629227972338,0.006045963694029287
39,mayah,Maya Hansen,deceased,human,0.03314917127071823,0.002592811112280363,0.004246520575393898
40,trevors,Trevor Slattery,alive,human,0.03314917127071823,0.0034133172527170443,0.004839994364430696
41,erics,Eric Savin,deceased,human,0.049723756906077346,0.002977580000704695,0.0063145460983548875
42,ellenb,Ellen Brandt,deceased,human,0.03314917127071823,0.0023564641522654498,0.004426558090693813
43,jackt,Jack Taggart,deceased,human,0.027624309392265192,0.0010272615684668962,0.003733024121654965
44,matthewe,Matthew Ellis,alive,human,0.022099447513812154,0.001829596016245214,0.003101467170972356
45,harleyk,Harley Keener,alive,human,0.016574585635359115,0.001955084491397426,0.0025294411592015325
46,jacksonn,Jackson Norriss,alive,human,0.0055248618784530384,0.00018836455675200542,0.0015099398662752836
47,bettyr,Betty Ross,alive,human,0.022099447513812154,0.0023725374873297916,0.0029369967595125174
48,thunderboltr,Thaddeus Ross,alive,human,0.08839779005524862,0.014640813685192582,0.00824188001976313
49,emilb,Emil Blonsky,unknown,human,0.016574585635359115,0.0022484560176627,0.0022885867964582574
50,samuels,Samuel Stern,unknown,human,0.022099447513812154,0.002372537487329791,0.0029369967595125174
51,leonards,Leonard Samson,alive,human,0.016574585635359115,0.0022484560176626997,0.0022885867964582574
52,loki,Loki,alive,frost giant,0.1878453038674033,0.023603272768583167,0.014661844403294651
53,odin,Odin,deceased,asgardian,0.09392265193370165,0.01103667051692854,0.007030802753325383
54,frigga,Frigga,deceased,asgardian,0.07734806629834254,0.0098171266106666,0.005846615737021561
55,sif,Sif,unknown,asgardian,0.08839779005524862,0.010435940991737223,0.006714553857846598
56,volstagg,Volstagg,deceased,asgardian,0.09944751381215469,0.01130691796487062,0.007486893668689328
57,hogun,Hogun,deceased,vanir,0.09392265193370165,0.011222222152405037,0.006987503903493935
58,fandral,Fandral,deceased,asgardian,0.09392265193370165,0.011222222152405037,0.006987503903493935
59,janef,Jane Foster,alive,human,0.07734806629834254,0.009669216992415386,0.005999257676327325
60,eriks,Erik Selvig,alive,human,0.06629834254143646,0.010605167906723181,0.005527617495875482
61,darcyl,Darcy Lewis,alive,human,0.03314917127071823,0.004463296365445198,0.0030282751903471924
62,laufey,Laufey,deceased,frost giant,0.04419889502762431,0.006703480700875408,0.0036644741266077317
63,destroyer,The Destroyer,deceased,asgardian,0.06629834254143646,0.008652768251278718,0.005345062738101901
